省,城市,运营商,DNS服务器,接入方式,操作系统,浏览器,目标IP,目标城市,目标运营商,Label
重庆,重庆市,中国联通,"221.7.92.98,221.5.203.98",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,113.207.82.1,重庆市,中国联通,0
江苏省,南京市,中国联通,"221.6.4.67,221.6.4.66",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,122.192.30.1,宿迁市,中国联通,0
江苏省,南京市,中国电信,"218.2.2.2,218.4.4.4",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,180.96.12.1,南京市,中国电信,0
上海,上海市,中国联通,"210.22.70.225,210.22.70.3",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,112.65.34.1,上海市,中国联通,0
重庆,重庆市,中国移动,218.201.17.2,LastMile,Windows 7,Chrome 55.3.2883.1540,183.230.67.1,重庆市,中国移动,0
上海,上海市,中国移动,"211.136.150.66,211.136.112.50",LastMile,Windows XP sp3,Chrome 31.1650.1761.0,111.47.246.1,武汉市,中国移动,0
四川省,成都市,教育网,"211.83.241.168,210.41.224.33",LastMile,Windows XP sp3,Chrome 31.1650.1761.0,58.205.217.1,北京市,教育网,0
上海,上海市,中国电信,"180.168.255.118,192.168.2.1",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,114.80.62.1,上海市,中国电信,0
四川省,成都市,教育网,"202.115.32.36,202.115.32.39",LastMile,Windows 7,Chrome 31.1650.1761.0,58.205.217.1,北京市,教育网,0
四川省,成都市,教育网,"202.115.64.33,202.115.32.39",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,58.205.217.1,北京市,教育网,0
北京,北京市,教育网,"210.31.160.77,210.31.160.7",LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,58.205.217.1,北京市,教育网,0
北京,北京市,长城宽带,223.255.127.1,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,124.192.136.131,北京市,,1
北京,北京市,教育网,"210.31.160.77,210.31.160.7",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,58.205.217.1,北京市,教育网,0
